eps,omega_p,n_cycles,readout,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.001,0.01,2,0.02,2,-0.00046120935972354676,-0.00046120935972354676,0.00639656996301806,1.5237366368682124,9.048635e-6,3971,1985.5,5ef5c11-dirty
0.0003,0.2,8,0.02,4,0.014752243847617053,0.014752243847617053,0.044105057521080515,901.9771508194341,1.708457e-5,767,383.5,5ef5c11-dirty
0.0003,0.2,2,0.0,3,-0.09400160191724535,0.03393795219595358,-0.09400160191724535,524.6713884745816,3.956093e-5,389,194.5,5ef5c11-dirty
0.03,0.1,2,0.02,3,-0.08046825380327997,0.07449043260071908,-0.08046825380327997,13.065223761700057,3.956093e-5,578,289.0,5ef5c11-dirty
0.01,0.05,2,0.01,6,0.07305079945296596,0.07491959873257298,0.07305079945296596,13.873780178448811,0.000112622154,953,476.5,5ef5c11-dirty
0.001,0.2,2,0.0,3,-0.08369962714966009,0.03551560082302252,-0.08369962714966009,157.35239606928266,3.956093e-5,389,194.5,5ef5c11-dirty
0.003,0.2,2,0.0,3,-0.05408001937045717,0.040044992989978684,-0.05408001937045717,52.40816604265518,3.956093e-5,389,194.5,5ef5c11-dirty
0.1,0.1,2,0.02,3,-0.035711421654778745,0.10569569421412359,-0.035711421654778745,6.290468506669346,3.956093e-5,578,289.0,5ef5c11-dirty
0.01,0.2,2,0.0,3,0.05102581870336474,0.05586626792337156,0.05102581870336474,15.690406831707174,3.956093e-5,389,194.5,5ef5c11-dirty
0.03,0.05,2,0.01,6,0.14426958397368975,0.14426958397368975,0.25277229981093,8.882970190566436,0.000112622154,953,476.5,5ef5c11-dirty
0.03,0.2,2,0.0,3,0.10087968168102217,0.10087968168102217,0.32347553473103163,5.237147800114762,3.956093e-5,389,194.5,5ef5c11-dirty
0.0003,0.1,8,0.02,7,-0.04741305171090227,-0.04438829908088309,-0.04741305171090227,669.9231905836106,5.042856e-5,1334,667.0,5ef5c11-dirty
0.003,0.02,8,0.005,4,0.02117708925864509,0.03954039296855374,0.02117708925864509,20.031937236113013,1.708457e-5,5852,2926.0,5ef5c11-dirty
0.3,0.1,2,0.02,3,0.12476378918872817,0.1954915082895459,0.12476378918872817,3.490594412362756,3.956093e-5,578,289.0,5ef5c11-dirty
0.1,0.2,2,0.0,3,0.24678242388039928,0.24678242388039928,0.686748288098581,1.703704561552684,3.956093e-5,389,194.5,5ef5c11-dirty
0.001,0.2,8,0.02,4,0.014751977222787302,0.014751977222787302,0.030366725875000715,270.5847401621873,1.708457e-5,767,383.5,5ef5c11-dirty
0.0003,0.1,2,0.0,4,0.01577674222344673,0.01577674222344673,0.05106255194328725,318.9305461689,1.708457e-5,578,289.0,5ef5c11-dirty
0.3,0.2,2,0.0,3,0.4818113268530575,0.4818113268530575,0.768205533241814,0.9229796486260978,3.956093e-5,389,194.5,5ef5c11-dirty
0.1,0.05,2,0.01,6,0.14121277498116913,0.14121277498116913,0.3594571507237723,4.452446154045595,0.000112622154,953,476.5,5ef5c11-dirty
0.001,0.1,2,0.0,4,0.01981723981143032,0.01981723981143032,0.07201576328839625,95.65992228273132,1.708457e-5,578,289.0,5ef5c11-dirty
0.003,0.2,8,0.02,4,-0.006146802954370428,0.014752598958219315,-0.006146802954370428,90.19043655380044,1.708457e-5,767,383.5,5ef5c11-dirty
